frecuencia neg,frecuencia pos,palabra
11,115,superbly
66,33,trashy
0,2,wondrously
1,24,unpretentious
140,93,exploitation
9,10,hooray
113,196,pre
404,270,credits
500,478,opening
345,383,sequences
410,555,somewhat
109,84,false
223,182,impression
2638,1938,re
94,173,dealing
501,488,serious
13,33,harrowing
538,873,drama
955,852,need
248,290,fear
337,146,barely
451,378,ten
876,1324,later
12,11,necks
67,15,nonsensical
49,24,chainsaw
51,85,battles
65,121,rough
46,26,fist
152,133,fights
12,27,lurid
82,60,dialogs
159,78,gratuitous
422,174,nudity
119,37,bo
20,42,ingrid
3173,3733,two
1,10,orphaned
25,35,siblings
12,40,unusually
625,671,close
7684,4962,even
249,292,slightly
27,18,perverted
310,656,relationship
416,321,imagine
4,8,playfully
43,21,ripping
19,7,towel
42,93,covers
355,463,sister
280,157,naked
568,404,body
40,23,stare
1,3,unshaven
20,4,genitals
636,784,several
65,37,judging
138,86,dubbed
123,121,laughter
2611,1940,doesn
293,194,sick
141,41,dude
989,855,kids
8,13,fled
41,38,russia
309,453,parents
201,141,nasty
229,193,soldiers
43,47,brutally
24,13,slaughtered
19,5,mommy
71,36,daddy
66,127,friendly
4,4,smuggler
531,569,took
18,17,custody
1741,1796,however
76,94,raised
33,64,trained
85,91,expert
2,2,smugglers
4152,2433,plot
11,28,lifts
1759,2757,years
26,70,facing
86,162,ultimate
73,110,quest
14,25,mythical
368,258,incredibly
51,42,valuable
726,766,white
342,290,fire
67,58,diamond
17,12,coincidentally
111,164,mine
2427,4201,life
3095,3340,little
1305,1020,sense
181,243,narrative
105,101,structure
1431,1252,sure
1891,2088,lot
1006,1688,fun
3548,3424,watch
6208,6515,time
166,58,clue
74,64,beating
292,242,cause
132,112,bet
2440,2046,actors
74,105,understood
1067,935,less
460,272,whatever
559,532,violence
2,27,magnificently
39,38,grotesque
546,372,single
336,270,twist
1,8,pleasingly
121,40,retarded
2072,954,script
767,540,totally
6,10,bonkers
11,15,repair
315,223,suddenly
767,916,won
72,117,reveal
1534,789,reason
399,442,needs
22,27,replacement
144,159,fred
11,11,williamson
51,80,enters
1662,1815,big
16,6,cigar
214,118,mouth
81,83,sleazy
1036,997,black
46,31,fingers
427,450,local
22,20,prostitutes
43,61,principal
11,20,opponent
230,297,italian
167,66,chick
91,37,breasts
83,20,hideous
304,181,accent
58,17,preposterous
40,51,catchy
337,479,theme
407,601,song
836,1378,plays
2010,1102,least
117,79,dozen
1404,1831,times
562,798,throughout
41,29,obligatory
183,200,falling
2152,4301,love
48,55,montage
46,54,loads
12,4,attractions
764,443,god
269,926,brilliant
417,642,experience
1984,1391,original
284,505,french
828,669,title
8,9,translates
113,147,survive
6,25,uniquely
83,138,appropriate
1813,2389,makes
5077,4688,much
1022,781,rest
691,341,none
47,27,dont
1949,1634,got
2115,1549,pretty
7419,7721,good
1565,1789,action
401,558,change
166,170,location
124,337,harry
205,177,hurt
160,51,offensive
40,98,eastwood
313,452,form
124,210,dirty
593,923,liked
81,61,pat
1,9,hingle
660,986,small
540,739,town
367,253,cop
3355,2382,better
75,78,pool
783,996,full
120,129,references
247,252,mad
82,133,max
204,162,ii
172,260,wild
2909,3766,many
1,5,ladybug
814,831,face
392,394,clear
83,83,reference
50,88,tribute
316,453,peter
17,20,lorre
171,441,masterpiece
1573,1328,ll
467,375,talk
306,594,future
1037,1500,although
253,215,generally
48,29,remakes
73,64,believing
1359,98,waste
232,169,exception
2658,1679,didn
2447,1790,actually
1619,1358,far
369,316,reading
313,317,previous
353,300,comment
379,204,remake
424,535,opinion
93,76,purely
137,114,comparison
5204,6779,story
3989,4037,way
829,787,written
358,327,question
2,61,capote
450,435,words
992,1245,play
121,142,anthony
6,23,edwards
98,167,eric
70,72,roberts
102,569,superb
3264,3415,seen
4081,3582,movies
807,726,case
1150,2089,always
60,66,wondered
434,572,number
286,485,famous
935,1152,star
461,646,brother
10,13,certainty
492,407,clearly
784,1063,top
28,37,profession
668,999,recommend
3076,3811,films
770,831,keep
1020,1324,dvd
22,15,shelves
53,54,harvey
72,109,lights
10,37,candle
3,6,anchored
968,1928,performance
3,17,spall
33,36,predict
19,25,titular
10,7,morose
55,127,tight
169,145,teacher
840,632,sort
312,299,break
7,9,catharsis
649,781,based
242,411,deep
282,329,secret
518,745,past
91,298,emotions
4,3,unveiled
86,216,surprising
100,134,range
109,286,feelings
23,35,conveyed
1595,2143,quite
254,600,moving
1714,1490,gets
114,150,portray
160,121,mike
48,28,leigh
1,3,repertory
392,312,expected
876,783,school
85,101,bus
210,282,trip
969,910,used
380,521,comic
42,42,purposes
22,29,simpsons
172,239,central
283,386,situation
98,164,visit
0,3,salisbury
5,7,cathedral
0,2,rhidian
7,8,brook
53,60,contained
16,24,structured
279,388,dramatic
1574,1564,almost
0,3,formally
15,32,divided
211,183,acts
147,166,introduced
53,136,urban
370,528,british
7,7,racially
6,7,religiously
14,40,diverse
31,19,uniforms
1042,457,couldn
959,759,tell
116,154,private
271,293,public
36,42,gather
12,4,rapping
176,296,south
15,8,asians
35,16,muslims
14,23,bullies
1117,566,mean
661,550,girls
137,130,naturally
10,11,individually
1317,2342,young
39,74,recognized
1382,1400,tv
34,11,shameless
4,19,exuberant
16,23,representing
426,539,usual
46,45,junior
1066,1095,high
225,357,social
6,23,pressures
7,7,celia
0,4,imrie
148,232,puts
21,65,warmth
7,6,supervisor
1222,1966,role
0,1,martinets
332,418,leads
0,5,transformative
58,94,crisis
91,118,remain
15,16,amusingly
24,20,oblivious
255,346,portrayed
285,331,ben
119,141,miles
4,8,coupling
16,14,spoon
43,39,fed
8,7,didactic
110,146,lesson
169,141,religious
21,19,tolerance
150,147,faith
89,100,bbc
216,273,showed
103,202,england
11,7,easter
305,423,america
200,287,u
347,276,christmas
2,4,nathalie
154,220,summer
168,257,key
52,91,redemption
4684,3237,could
1017,1571,played
218,241,week
25,21,preaching
70,365,touching
115,131,reach
63,187,unexpected
931,421,unfortunately
1474,1693,saw
86,258,intense
16,31,interrupted
67,49,commercials
238,254,heavy
118,63,handed
1,4,pointedly
108,68,calling
204,231,road
0,14,pilgrimage
81,203,quiet
2096,4318,best
0,7,evocation
822,1087,men
83,65,holiday
24,29,themed
295,488,among
178,227,indian
37,36,fade
20,35,passage
58,79,spell
2,8,binding
249,199,appeal
3,14,diminish
17,24,transforms
8,11,abyss
12,9,artificially
14,13,styled
154,162,pop
200,295,culture
15,12,drill
23,43,oriented
110,118,extras
1798,1709,take
2,6,enhancing
199,180,p
378,530,songs
404,579,cinematography
98,104,speaks
388,1681,excellent
133,134,skills
1,5,josef
0,1,werching
3,5,accentuate
11,21,monumental
36,61,scope
306,327,effect
31,29,entirety
375,379,gone
572,696,days
7,4,clipped
2,4,retakes
490,496,taken
0,2,finalizing
5,11,meticulous
265,93,paid
2,10,crafting
492,282,editing
2780,2427,scenes
30,126,poignant
238,313,filled
13,45,sublime
212,445,emotional
46,112,intensity
155,134,instance
1,14,meena
1,13,kumari
51,103,refuses
804,731,yes
13,18,approval
0,1,nikah
142,275,marriage
76,264,bond
14,21,climbs
139,104,hill
571,421,running
14,15,berserk
16,18,traumatized
14,21,frenzy
33,36,raj
47,33,kumar
194,305,follows
329,767,strong
17,4,gale
112,162,wind
41,60,blew
6,7,veil
168,160,onto
91,69,legs
25,10,kamal
1,8,amrohi
52,81,shall
90,168,remembered
82,177,golden
5,8,annals
509,823,history
0,2,endeavoring
640,395,complete
120,163,record
274,360,setting
161,111,manage
28,41,vital
1596,1671,without
129,137,ups
393,455,lady
680,630,lead
5,9,terminally
166,124,ill
306,301,fighting
648,957,early
963,1571,especially
835,808,understand
121,150,loss
1353,1597,feel
16,60,loneliness
0,1,cheadles
84,107,johnson
13,35,reflected
436,195,total
108,158,opposite
0,1,sandlers
0,29,fineman
834,694,felt
91,97,trapped
3,4,blessings
1486,987,trying
357,359,forget
90,176,perspective
4,15,jada
286,1370,wonderful
0,1,additive
1694,2133,cast
68,106,sandler
67,117,pulls
89,235,tears
4,56,cheadle
9,16,supporter
45,101,oscars
308,175,somewhere
467,857,fine
745,809,lost
23,24,assure
153,227,jerry
9,52,soylent
191,213,green
226,258,disturbing
282,267,science
198,278,fiction
2282,3340,still
4,10,persuasive
309,934,today
188,167,standards
61,95,flawed
102,165,dated
24,25,apocalyptic
168,304,touch
16,14,environmental
485,227,premise
343,435,typical
32,67,unsettling
53,113,provoking
701,600,quality
6,27,surpasses
114,124,majority
79,132,contemporary
25,33,sf
220,137,flicks
184,262,personally
247,266,consider
1853,2457,new
297,512,york
123,103,depressing
1148,1263,place
235,228,alive
55,58,population
5,8,unemployment
10,7,unhealthy
6,30,climate
1,4,scarcity
160,172,food
128,104,product
126,262,available
4,8,synthetic
23,21,distributed
244,271,company
28,38,charlton
61,75,heston
66,93,shape
35,36,investigating
417,646,murder
0,11,eminent
26,25,executives
34,32,stumbles
406,453,upon
6,5,scandals
551,829,dark
33,80,secrets
45,101,sentimental
210,212,climax
1595,1594,come
309,406,surprise
242,493,atmosphere
47,105,tense
20,30,uncanny
31,45,riot
5,8,grueling
418,474,easily
15,46,macabre
731,932,moments
90,114,edward
24,69,robinson
252,269,ultimately
1390,1543,last
25,37,modest
18,19,supportive
79,153,joseph
15,9,cotton
31,18,baron
731,454,blood
24,7,abominable
349,353,dr
1,5,phibes
15,33,nightmarish
50,81,inevitable
107,175,humanity
64,55,fancy
405,350,space
36,43,ships
31,9,hairy
181,96,monsters
36,21,attacking
0,1,stearns
73,61,sexually
59,66,frustrated
81,156,individual
1647,1481,interesting
162,204,moral
88,149,attitude
52,98,sexuality
938,513,problem
9,5,ogling
57,59,dancers
959,860,women
956,744,start
1045,638,sex
124,139,loses
90,138,believes
134,211,lose
33,121,innocence
169,486,beauty
2,3,strolls
99,53,hills
38,22,stalking
6,7,lovemaking
46,47,couples
59,59,distance
257,222,shooting
22,17,powered
17,60,rifle
28,36,seeming
40,66,primary
129,130,existence
15,16,indulge
348,362,sexual
36,27,activity
17,7,afterthought
63,116,bound
64,88,happily
11,13,heterosexual
357,309,male
36,91,pleased
154,121,treated
1998,1454,enough
12,6,protracted
126,169,ladies
62,22,awfully
16,18,sans
184,144,clothes
83,84,serve
487,440,major
34,41,dose
14,2,titillation
988,1111,seeing
250,205,fair
301,416,deal
17,17,creepiness
113,105,factor
31,37,considerably
10,22,illustrates
3,9,compulsion
8,9,voyeurism
2863,1663,thing
576,640,eyes
62,59,pulling
25,26,trigger
1,9,underscored
15,15,intrusive
55,93,atmospheric
312,452,soundtrack
13,15,penchant
379,125,trash
665,1146,enjoy
109,95,degree
131,190,includes
147,58,lesbian
3,6,tryst
1,2,confounds
9,21,renders
15,25,uncertain
54,54,react
23,81,unfolds
656,475,slow
218,332,pace
11,16,wraps
262,247,amusing
68,94,ironic
19,15,kinky
79,120,twisted
6,23,rarity
2989,1301,nothing
1198,800,else
537,1043,definitely
333,452,viewers
19,40,glued
1187,1305,screen
366,599,happy
2718,2438,go
115,147,luck
260,202,military
1,8,swashbuckler
1394,1339,rather
74,44,loosely
0,10,rudyard
0,26,kipling
199,467,memorable
21,64,poem
1093,1202,three
18,23,qualifies
4306,4755,first
402,476,entertainment
6,22,imperial
245,209,army
59,120,india
42,66,cary
111,151,grant
116,240,delivers
75,64,knock
72,50,blows
1,1,knuckled
12,12,fists
963,1280,together
1176,1279,set
3,5,faraway
184,202,six
20,6,fisted
11,28,yarn
9,8,dwells
23,39,exploits
5,30,rugged
3,19,sergeants
122,116,native
261,286,water
1,12,bearer
0,66,gunga
0,82,din
226,230,sam
4,23,jaffe
10,18,contend
20,5,bloodthirsty
262,221,cult
45,64,murderous
55,67,indians
796,637,called
0,8,thuggee
23,40,sergeant
1,15,archibald
18,38,cutter
4,3,outpost
0,9,macchesney
233,628,oscar
67,165,winner
80,156,victor
5,78,mclaglen
5,39,informer
0,15,ballantine
107,208,douglas
9,47,fairbanks
109,193,jr
64,72,dawn
7,10,patrol
12,17,competitive
39,73,trio
1374,1294,hard
95,80,drinking
3,2,brawling
90,226,loving
17,12,alpha
41,20,males
408,578,whose
4,8,frolic
628,916,become
88,138,marry
11,30,emmy
0,2,stebbins
103,199,joan
13,59,fontaine
86,110,enter
70,66,tea
247,377,business
15,27,drum
12,15,assorted
11,21,schemes
3,5,derail
0,4,ballentine
6,27,superiors
462,489,order
2424,2548,back
20,39,sgt
2,2,bertie
0,2,higginbotham
382,569,robert
0,5,coote
7,1,sheik
67,79,steps
609,487,cannot
9,21,accompany
41,37,replace
1341,753,half
25,33,principals
3,4,outwit
30,18,hating
374,488,george
46,48,stevens
2,18,celebrates
208,336,spirit
154,356,adventure
111,196,grand
694,907,style
141,177,heroes
2,5,tangle
0,3,thuggees
0,1,lenser
19,37,august
96,165,received
27,71,nomination
76,341,outstanding
1430,1053,looking
7,12,quo
1,5,vadis
1043,687,video
289,230,store
670,340,looked
268,163,wow
262,1058,amazing
40,83,ken
73,135,russell
1539,1244,kind
62,112,quirky
21,37,stylized
155,184,artistic
2,4,nero
184,231,presented
786,660,evil
2,7,incarnate
45,39,wacky
6,9,unfulfilled
47,50,emperor
30,42,circus
455,552,career
1443,1398,probably
491,437,earth
67,112,position
274,348,leading
38,86,empire
1490,827,wasn
3,9,longed
0,1,klause
55,120,maria
0,1,bandaur
22,105,tremendous
1057,1220,worth
7,7,persecuted
73,19,christians
25,69,vengeance
1846,1379,point
22,22,henchmen
0,1,murmurs
1129,836,simply
15,21,protecting
1625,1688,right
89,183,simon
7,51,pegg
44,33,rude
107,80,crude
631,970,often
251,259,control
43,59,celebrity
49,63,journalist
278,459,brought
2027,2344,work
980,1248,american
62,74,magazine
96,252,winning
308,496,ways
296,316,create
86,104,sorts
16,32,complications
1502,1741,comedy
298,305,co
806,889,stars
11,8,kristen
14,29,dunst
114,138,grown
92,238,danny
45,20,huston
109,191,jeff
29,38,bridges
430,848,works
47,57,primarily
635,729,despite
139,122,behavior
1168,721,completely
98,163,continues
43,44,frequent
52,16,screw
2953,2695,end
32,19,cap
100,146,evening
278,173,sitting
43,26,couch
210,243,adaptation
80,193,witty
59,95,cynical
50,49,depressed
513,443,middle
113,120,aged
21,6,software
11,32,engineer
2942,2135,something
19,28,relying
91,89,heavily
847,749,person
86,106,narration
1248,220,worse
15,23,downbeat
2,3,petit
5,16,bourgeois
48,51,philosophical
0,3,blackly
106,157,humorous
193,137,describe
85,91,intellectual
180,228,charles
5,1,bukowski
17,8,disrespect
0,14,cb
221,167,intended
0,1,mordantly
2337,1951,funny
34,85,bleak
42,46,analysis
34,68,relations
31,93,achievement
16,55,reflects
2169,2568,real
7,11,recognisable
381,267,ask
540,346,aren
105,337,rare
90,91,examples
171,261,equally
59,81,eva
5,30,hedy
8,26,lamarr
231,359,married
263,393,older
2517,3465,man
14,21,honeymoon
60,139,realizes
453,573,husband
113,191,desire
318,86,disappointment
1,3,privation
62,64,returning
726,1397,father
848,1029,home
52,63,farm
240,242,leaving
80,107,afternoon
15,18,bathing
150,100,lake
147,151,horse
93,70,escapes
58,71,worker
3,4,retrieves
546,1030,gives
380,390,fall
93,198,lovers
71,47,misses
790,484,tries
65,79,fortune
1179,1178,ending
158,188,affair
87,261,tragic
0,4,extase
22,23,remark
60,66,relative
1046,155,horrible
76,206,vhs
31,85,brazil
16,26,brazilian
14,17,distributor
92,98,network
2022,1596,seems
13,15,reels
546,645,parts
34,32,damaged
173,162,therefore
165,307,images
43,96,achieved
563,699,viewer
447,620,chance
145,69,rental
33,28,sale
141,93,practically
172,267,silent
918,634,lines
28,23,consequently
3597,3557,characters
564,98,badly
183,221,developed
35,79,daring
36,46,exposure
596,1581,beautiful
193,82,fat
230,386,present
144,654,fantastic
26,70,poetic
3,4,metaphoric
30,38,flowers
1,5,symbolizing
15,7,intercourse
177,220,lover
6,5,conducts
2861,3433,show
529,369,non
1,3,conclusive
84,226,unusual
1132,1614,day
23,67,restored
104,118,vote
91,130,eight
0,1,xtase
11,25,ecstasy
711,648,turn
21,30,graduate
629,895,mother
806,1468,job
64,43,explaining
24,54,desires
1356,1438,woman
179,271,glad
1510,1584,done
161,66,ruined
464,491,taking
117,135,develop
123,133,revealed
161,251,slowly
21,29,realistically
4055,2435,acting
6,18,believably
942,600,dialogue
44,137,sensitive
515,258,tried
572,471,happen
1153,668,wrong
54,66,intrigued
277,870,highly
46,35,confess
173,219,forever
202,165,mom
382,594,light
160,158,accident
49,67,kenneth
67,119,branagh
69,75,stealing
16,25,helena
18,28,bonham
56,95,carter
201,289,chemistry
269,573,enjoyable
49,153,emma
41,44,thompson
26,34,disabled
55,106,seeking
541,403,female
1760,1689,long
70,157,portraying
175,167,pull
572,334,basically
189,190,pain
252,459,believable
111,146,current
57,116,wave
0,1,uglying
419,693,roles
6,8,charlize
7,15,theron
3,8,halle
9,17,berry
203,143,fell
27,28,consideration
666,551,run
482,489,across
144,135,cable
481,730,late
1081,1082,night
149,172,trust
205,120,sleep
162,161,sight
292,438,particular
32,123,bette
90,264,davis
33,29,votes
440,262,imdb
540,388,rating
518,407,turned
38,236,delightful
593,583,expect
188,269,normal
408,312,average
62,36,formulaic
154,312,surprisingly
39,56,constructed
89,271,helps
80,154,pleasant
73,90,carried
1220,1044,main
11,37,brent
134,190,helped
482,459,mostly
185,208,mainly
122,102,involves
1943,1673,around
568,508,involved
237,296,clever
147,490,perfectly
857,1008,short
784,404,hour
373,388,means
86,76,needless
390,251,development
485,412,fast
100,200,paced
201,106,watchable
14,25,todays
799,882,perhaps
328,695,simple
33,20,expense
284,570,romantic
258,333,deserves
24,39,antonio
3,10,margheriti
11,14,danza
1,4,macabra
98,241,castle
38,103,eerie
7,21,chiller
17,8,fronts
842,643,absolutely
37,287,wonderfully
308,330,creepy
42,94,gothic
15,26,vibe
131,220,alan
80,105,foster
444,542,english
15,16,pursues
95,85,interview
36,40,visiting
2150,1441,horror
631,522,writer
34,61,edgar
18,22,allan
36,38,poe
11,19,bets
307,201,spend
99,88,abandoned
89,72,mansion
611,831,friend
112,142,thomas
4,17,blackwood
22,35,accepting
4,14,wager
89,78,locked
298,497,begins
142,162,scared
660,365,hell
19,21,crypt
272,269,tension
89,27,unbearable
53,190,barbara
9,61,steele
62,101,sinister
3,5,specter
14,11,elisabeth
341,1087,loved
635,1024,episode
187,151,quick
44,94,secretary
913,714,getting
17,13,punished
61,126,effectively
13,10,accomplice
62,144,columbo
23,59,unpredictable
72,58,resolution
254,236,conclusion
786,990,along
5,10,uncovering
82,97,murderer
9,30,interplay
43,79,falk
22,99,ruth
96,149,gordon
31,55,priceless
766,867,playing
1,2,flattered
19,20,lt
70,86,tongue
50,64,cheek
5,7,allusion
177,283,detective
90,140,fame
287,470,crime
0,3,solver
8,12,installments
41,20,screenwriters
8,14,conference
53,38,sue
148,345,smith
0,2,summarised
216,74,explanation
118,305,themes
3,4,abundantly
33,102,inspiring
79,179,deals
237,217,ability
68,70,dare
115,131,passed
10,12,parental
67,124,figures
55,99,overcome
17,40,embrace
51,47,possibilities
1,18,treasured
1,3,savoured
48,24,hyped
4,5,somersault
20,30,mandy
3,5,unkind
10,35,hugo
5,14,weaving
24,13,bloke
14,43,vintage
83,123,australian
11,5,lacklustre
217,362,recently
0,8,peaches
16,41,goods
483,223,okay
565,206,sorry
512,742,genre
176,157,anymore
227,96,rip
406,228,cheesy
53,32,imitation
20,16,imitating
213,337,popular
568,466,group
1,5,everyones
499,893,lives
451,612,living
419,286,decided
230,222,pick
20,16,nerdy
685,875,boy
361,438,named
34,56,marty
577,674,turns
69,55,fatal
22,13,pranks
808,980,friends
47,104,reunion
60,35,letters
437,516,ones
40,31,receiving
255,369,return
2215,2310,old
45,31,knocked
329,133,yeah
638,442,happens
569,348,disappointed
1169,956,left
78,97,critical
0,1,cupidgrl
0,4,stephane
0,12,rideau
762,619,already
59,95,tour
285,445,de
242,272,force
1,5,reeds
78,156,france
300,215,biggest
83,98,indie
6,40,cedric
225,452,meets
2,5,vacationing
3,64,mathieu
25,29,newcomer
61,67,jamie
1,5,elkaim
87,318,stunning
12,36,nuanced
4,18,ethereal
99,92,beach
26,38,demanding
45,128,aunt
520,702,soon
4,11,fractured
17,19,comprised
38,51,lengthy
96,53,flash
43,30,backs
161,134,bits
194,230,pieces
371,280,forward
81,125,movement
4,5,daunting
1,3,sebastien
0,10,lifshitz
24,5,signal
327,439,period
306,389,difficult
338,447,follow
314,155,stick
589,740,final
13,51,engrossing
533,726,able
369,959,heart
89,142,breaking
16,65,uplifting
56,57,ranks
2091,2475,though
39,21,misfortune
468,620,hit
160,239,festival
16,16,circuit
32,50,austin
6,4,sxsw
239,141,tired
112,184,shakespeare
68,107,elizabeth
1178,1021,audience
267,333,inside
23,16,staging
37,56,scottish
11,23,macbeth
61,47,producing
643,132,avoid
90,57,curse
17,42,crisp
11,26,efficient
52,106,stylish
111,123,treatment
2,10,treachery
2,4,befalls
10,16,troupe
9,17,evocative
410,620,score
53,44,sounding
1179,657,budget
194,183,suggest
71,290,gem
1405,2430,world
410,483,class
56,160,satisfying
198,168,laughed
24,16,bogdanovich
24,66,recognition
291,305,reasons
385,467,sets
216,284,tone
96,129,appealing
6,21,gazzara
857,1351,john
23,112,ritter
35,31,audrey
45,27,hepburn
8,17,breezy
35,35,vein
17,35,screwball
25,37,thirties
137,120,essentially
10,48,odyssey
31,40,agency
137,235,fellow
35,31,detectives
46,54,pot
80,54,smoking
29,46,roller
13,7,skating
37,72,eccentric
3,30,blaine
6,80,novak
213,223,producer
481,370,falls
249,338,rich
7,12,tycoon
3,6,magnate
944,1196,wife
58,84,dorothy
18,7,stratten
364,211,sadly
152,108,murdered
1,4,infamously
1003,787,production
47,115,essential
282,468,viewing
1264,2151,series
386,518,television
10,37,excellence
950,1242,takes
63,373,beautifully
369,394,filmed
76,343,noir
45,72,shadows
14,62,stark
93,121,spoil
72,88,presentation
10,8,homosexuals
89,115,faced
0,1,pettit
568,636,directed
1,2,jeannot
1,3,szwarc
373,354,move
105,257,tragedy
137,150,issue
63,91,torn
137,304,edge
24,50,chills
116,123,ran
18,43,spine
118,148,bob
26,42,dylan
107,261,gorgeous
77,42,ah
201,302,younger
24,53,sung
1,1,byrds
131,206,chinese
49,142,hong
114,156,kong
69,79,infamous
290,257,cat
47,52,disappeared
436,461,knew
33,57,purchased
7,15,cambodian
119,159,judge
84,126,lawyer
7,18,arrangements
2,1,divorcing
68,58,threatening
1639,723,money
455,625,known
377,455,within
977,869,given
172,129,cops
16,22,locate
26,29,arrest
518,579,police
48,59,officers
21,16,civilians
667,444,killed
3,7,eludes
166,199,race
178,269,catch
12,20,cambodia
68,90,stops
376,237,hardly
70,107,breath
231,292,violent
145,213,proves
200,199,track
113,97,hide
40,18,dump
357,591,finds
86,40,raped
5,11,mistreated
84,59,saves
4,17,persuades
222,316,escape
27,46,coaster
249,393,keeps
56,59,incident
40,46,exceptionally
163,243,photography
22,146,breathtaking
150,413,incredible
338,96,unbelievable
56,81,fitting
114,189,brutal
203,83,nonsense
8,15,socks
326,362,dog
170,105,eat
3,5,widespread
328,479,release
425,627,including
219,243,r
111,378,recommended
18,37,anthology
483,696,stories
112,144,occasionally
366,292,laughs
1856,1330,isn
472,746,sometimes
6,14,stuffy
127,122,overly
430,482,four
2,3,unifying
6,24,connects
1084,1100,house
44,55,involve
481,238,rent
60,52,investigate
592,484,happened
11,19,tenants
89,166,segment
81,102,starred
4,21,denholm
9,45,elliott
62,51,block
200,207,scenery
218,244,immediately
15,14,vanishes
6,15,steadily
249,541,tale
186,208,serial
914,541,killer
83,91,amazingly
81,107,fictional
69,51,psychotic
455,386,appears
37,35,disappears
1147,1028,seem
84,136,losing
1658,1261,might
953,1009,second
46,53,weakest
14,56,cushing
37,26,bachelor
3,8,pining
230,282,died
424,609,ago
651,833,picture
28,22,chamber
46,78,horrors
20,46,wax
30,66,museum
182,355,sees
389,369,figure
110,187,reminds
32,56,fascinated
0,21,joss
0,19,ackland
31,58,visits
2,17,entranced
163,93,frankly
32,12,letdown
191,224,christopher
431,383,lee
81,119,harsh
16,36,stern
407,61,pathetic
857,506,seemed
141,44,idiot
12,31,demeanor
308,248,ended
69,107,fourth
14,3,silliest
341,273,meant
138,108,parody
73,114,jon
9,30,pertwee
361,378,third
328,297,doctor
2,9,temperamental
1185,1204,actor
